,Link,Cập nhật ngày,Tên tòa nhà,Địa chỉ,Đường,Phường,Quận,Tỉnh,Số tầng,Diện tích cho thuê,Giá thuê,Phí quản lý,Phí gửi xe máy,Phí gửi ô tô,Tiền điện,Phí ngoài giờ,Thời gian thiết kế văn phòng,Thời gian thuê,Đặt cọc,Thanh toán
26,https://vlook.vn/van-phong-cho-thue/3-bees-tower-nguyen-van-troi-quan-phu-nhuan/,21/01/2021,3 BEES TOWER,"Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận",Nguyễn Văn Trỗi,Phường 10,Quận Phú Nhuận,HCM,2 Hầm – 1 Trệt – 11 Tầng – 2 Thang máy,100 – 150 – 250 – 500 m2,21$ /m2,4.5$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
27,https://vlook.vn/van-phong-cho-thue/235-ly-thuong-kiet-building-quan-tan-binh/,22/12/2020,235 LÝ THƯỜNG KIỆT BUILDING,"Lý Thường Kiệt, Phường 6, Quận Tân Bình",Lý Thường Kiệt,Phường 6,Quận Tân Bình,HCM,2 Hầm – 1 Trệt – 1 Lửng – 6 Tầng – 1 Sân thượng – 1 Thang máy,40 – 71 – 107 – 167 – 220 – 1.500 m2,10.3$ /m2,1.5$ /m2,120.000đ /tháng,1.500.000đ /tháng,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng
28,https://vlook.vn/van-phong-cho-thue/258-ton-dan-building-quan-4/,26/01/2021,258 TÔN ĐẢN BUILDING,"Tôn Đản, Phường 8, Quận 4",Tôn Đản,Phường 8,Quận 4,HCM,1 Hầm – 1 Trệt – 1 Lửng – 6 Tầng – 1 Thang máy,100 – 284 – 568 – 1.136 – 1.704 m2,16$ /m2,2$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
29,https://vlook.vn/van-phong-cho-thue/92-thich-quang-duc-quan-phu-nhuan/,22/12/2020,92 THÍCH QUẢNG ĐỨC,"Thích Quảng Đức, Phường 5, Quận Phú Nhuận",Thích Quảng Đức,Phường 5,Quận Phú Nhuận,HCM,1 Hầm – 1 Trệt – 1 Lửng – 5 Tầng – 1 Thang máy,133 – 270 – 500 – 900 m2,12$ /m2,2$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
30,https://vlook.vn/van-phong-cho-thue/274-tran-nao-quan-2/,29/01/2021,274 TRẦN NÃO,"Trần Não, Phường Bình An, Quận 2",Trần Não,Phường Bình An,Quận 2,HCM,1 Trệt – 5 Tầng – 1 Thang bộ,72 – 144 – 288 m2,12$ /m2,0$ /m2,Miễn phí,Miễn phí,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  3  năm,3  tháng,Theo tháng hoặc theo quý
31,https://vlook.vn/van-phong-cho-thue/acb-building-tran-hung-dao-quan-5/,25/01/2021,ACB BUILDING,"Trần Hưng Đạo, Phường 11, Quận 5",Trần Hưng Đạo,Phường 11,Quận 5,HCM,1 Trệt – 1 Lửng – 6 Tầng – 1 Thang máy,200 – 230 – 400 – 600 – 1.200 m2,10.3$ /m2,0$ /m2,150.000đ /tháng,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
32,https://vlook.vn/van-phong-cho-thue/acb-building-cho-thue-van-phong-quan-3-gia-re/,03/02/2021,ACB BUILDING,"Cách Mạng Tháng Tám, Phường 6, Quận 3",Cách Mạng Tháng Tám,Phường 6,Quận 3,HCM,2 Hầm – 1 Trệt – 11 Tầng – 2 Thang máy,120 – 150 – 400 – 900 m2,11$ /m2,4$ /m2,6$/ tháng,50$ /tháng,Theo giá nhà nước,Thỏa thuận,"Miễn phí từ 7-30 ngày, tùy diện tích",Tối thiểu 2 năm,3 tháng,Theo tháng
33,https://vlook.vn/van-phong-cho-thue/acb-bank-building-cho-thue-van-phong-quan-7/,19/01/2021,ACB BANK BUILDING,"Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7",Huỳnh Tấn Phát,Phường Bình Thuận,Quận 7,HCM,1 Hầm – 1 Trệt – 6 Tầng – 1 Thang máy,50 – 60 – 100 – 150 m2,7$ /m2,2$ /m2,6$ /tháng,70$ /tháng,Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
34,https://vlook.vn/van-phong-cho-thue/abtel-tower-phan-dang-luu-van-phong-cho-thue-quan-binh-thanh/,22/12/2020,ABTEL TOWER,"Phan Đăng Lưu, Phường 6, Quận Bình Thạnh",Phan Đăng Lưu,Phường 6,Quận Bình Thạnh,HCM,1 Trệt – 9 Tầng – 3 Thang bộ – 2 Thang máy,40 -> 100 m2,19$ /m2,3$ /m2,9$ /tháng,90$ /tháng,Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
35,https://vlook.vn/van-phong-cho-thue/abtel-tower-cho-thue-van-phong-quan-10/,19/01/2021,ABTEL TOWER,"Hùng Vương, Phường 2, Quận 10",Hùng Vương,Phường 2,Quận 10,HCM,1 Trệt – 5 Tầng – 1 Tầng thượng – 1 Thang máy,200 – 400 – 600 – 800 – 1.000 m2,11$ /m2,0$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ 7-30 ngày, tùy diện tích",Tối thiểu 2 năm,3 tháng,Theo tháng
36,https://vlook.vn/van-phong-cho-thue/abacus-building-cho-thue-van-phong-quan-1/,03/02/2021,ABACUS BUILDING,"Nguyễn Đình Chiểu, Đa Kao, Quận 1",Nguyễn Đình Chiểu,Đa Kao,Quận 1,HCM,2 Hầm – 1 Trệt – 1 Lửng – 12 Tầng – 2 Thang máy,30 – 65 – 83 – 110 – 154 – 190 – 349 m2,22$ /m2,5.5$ /m2,10$ /tháng,150$ /tháng,Đồng hồ riêng. Miễn phí điện lạnh trong giờ hành chính,Thỏa thuận,"Miễn phí từ 7-30 ngày, tùy diện tích",Tối thiểu 2 năm,3 tháng,Theo quý
37,https://vlook.vn/van-phong-cho-thue/ab-tower-cho-thue-van-phong-quan-1/,22/12/2020,AB TOWER,"76A Lê Lai, Phường Bến Thành, Quận 1",76A Lê Lai,Phường Bến Thành,Quận 1,HCM,3 Hầm – 1 Trệt – 25 Tầng – 7 Thang máy,150 – 210 – 330 – 550 – 800 m2,38.7$ /m2,6.5$ /m2,494.000đ /tháng,4.934.000đ  /tháng,Đồng hồ riêng. Miễn phí điện lạnh trong giờ hành chính,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  3  năm,3  tháng,Theo quý
38,https://vlook.vn/van-phong-cho-thue/a4-building-van-phong-cho-thue-quan-tan-binh/,22/12/2020,A4 BUILDING,"Đường A4, Phường 12, Quận Tân Bình",Đường A4,Phường 12,Quận Tân Bình,HCM,1 Hầm – 1 Trệt – 5 Lầu,40 – 80 m2,12.2$ /m2,0$ /m2,150.000đ /tháng,Thỏa thuận,Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
39,https://vlook.vn/van-phong-cho-thue/ah-building-no-trang-long-quan-binh-thanh/,22/12/2020,A&H BUILDING,"Nơ Trang Long, Phường 13, Quận Bình Thạnh",Nơ Trang Long,Phường 13,Quận Bình Thạnh,HCM,1 Trệt – 3 Tầng – 1 Sân thượng – 1 Thang bộ,30 – 60 – 90 – 150 m2,5$ /m2,1$ /m2,Miễn phí,Miễn phí,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
40,https://vlook.vn/van-phong-cho-thue/a-connection-building-30-thang4-ninh-kieu-can-tho/,28/01/2021,A-CONNECTION BUILDING,"Đường 30 Tháng 4, Phường An Phú, Quận Ninh Kiều, Cần Thơ",Đường 30 Tháng 4,Phường An Phú,Quận Ninh Kiều,Cần Thơ,1 Trệt – 2 Tầng – 1 Thang bộ,825 – 1.155 – 1.400 – 2.400 m2,14$ /m2,2$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
41,https://vlook.vn/van-phong-cho-thue/a-space-office-duong-so-30-quan-2/,29/01/2021,A Space Office,"Đường số 30, Phường Bình An, Quận 2",Đường Số 30,Phường Bình An,Quận 2,HCM,1 Hầm – 1 Trệt – 5 Tầng – 1 Thang máy,50 – 60 – 90 – 150 m2,14$ /m2,3$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
42,https://vlook.vn/van-phong-cho-thue/a-dong-building-van-phong-cho-thue-quan-binh-thanh/,22/12/2020,Á ĐÔNG BUILDING,"Đường D2, Phường 25, Quận Bình Thạnh",Đường D2,Phường 25,Quận Bình Thạnh,HCM,1 Hầm – 6 Tầng – 1 Thang Máy,30 – 40 – 60 – 80 m2,12$ /m2,2$ /m2,200.000đ /tháng,2.100.000đ /tháng,Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,2  tháng,Theo tháng hoặc theo quý
43,https://vlook.vn/van-phong-cho-thue/9a-building-huyen-binh-chanh/,28/01/2021,9A BUILDING,"Đường 9A, Xã Bình Hưng, Huyện Bình Chánh",Đường 9A,Xã Bình Hưng,Huyện Bình Chánh,HCM,1 Hầm – 1 Trệt – 3 Tầng – 1 Tầng áp mái – 1 Thang máy,150 – 300 – 450 – 600 – 750 m2,4$ /m2,1$ /m2,100.000đ /tháng,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng
44,https://vlook.vn/van-phong-cho-thue/97nct-building-nguyen-cong-tru-quan-1/,03/02/2021,97NCT BUILDING,"Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1",Nguyễn Công Trứ,Phường Nguyễn Thái Bình,Quận 1,HCM,1 Trệt – 5 Tầng – 2 Thang máy,18 – 27 – 50 – 100 – 250 m2,8.5$ /m2,0$ /m2,200.000đ /tháng,Thỏa thuận,Đồng hồ riêng. Miễn phí điện lạnh trong giờ hành chính,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
45,https://vlook.vn/van-phong-cho-thue/acb-building-cong-hoa-quan-tan-binh/,22/12/2020,ACB BUILDING CỘNG HÒA,"Cộng Hòa, Phường 15, Quận Tân Bình",Cộng Hòa,Phường 15,Quận Tân Bình,HCM,1 Hầm – 1 Trệt – 6 Tầng – 1 Thang máy,250 – 500 – 1.000 – 1.500 – 2.500 m2,10$ /m2,2$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
